,job_title,company_name,region,applicant_count,employment_salary_type_level,company_size_industry,date_queried,date_posted,description
0,Data Scientist Senior,EY,"Hoboken, NJ",2 applicants,Full-time · Mid-Senior level,"10,001+ employees · Accounting",2021-10-13 21:01,21 hours ago,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. DATA SCIENTIST SENIOR - NEW YORK, NEW JERSEY, CHARLOTTE, CHICAGO, MCLEAN, ATLANTA, PHILADELPHIA, BOSTON Advisory Services Senior, Data Scientist, US EY delivers unparalleled service in big data, business intelligence, and digital analytics built on a blend of custom-developed methods related to customer analytics, data visualization, and optimization. We leverage best practices and a high degree of business acumen that has been compiled over years of experience to ensure the highest level of execution and satisfaction for our clients. At EY, our methods are not tied to any specific platforms but rather arrived at by analyzing business needs and making sure that the solutions delivered meet all client goals. The opportunity You will help our clients navigate the complex world of modern data science and analytics. We’ll look to you to provide our clients with a unique business perspective on how data science and analytics can transform and improve their entire organization – starting with key business issues they face. This is a high growth, high visibility area with plenty of opportunities to enhance your skillset and build your career. Your key responsibilities You’ll spend most of your time working with a wide variety of clients to deliver the latest data science and big data technologies and practices to design, build and maintain scalable and robust solutions that unify, enrich and analyse data from multiple sources.  Skills and attributes for success Applying data mining and statistical analysis techniques like hypothesis testing, segmentation and modelling to analyze large amounts of dataHelping our clients make data-driven decisions by working with structured and unstructured data sets, building out predictive models and advising our clients on data mining leading practicesBuilding and applying data analysis algorithms (data mining, statistics, machine learning, natural language processing, sentiment analysis, text mining, etc.) as appropriateDesigning, architecting and developing solutions leveraging big data technology (Open Source, Hortonworks, AWS or Microsoft) to ingest, process and analyze large, disparate data sets to exceed business requirementsUnifying, enriching and analyzing customer data to derive new insights and opportunitiesLeveraging in-house data platforms as needed and recommending and building new data platforms/solutions as required to exceed business requirementsClearly communicating findings, recommendations and opportunities to improve data systems and solutionsDemonstrating deep understanding of and ability to teach data science, concepts, tools, features, functions and benefits of different approaches to apply themSeeking out information to learn about emerging methodologies and technologiesClarifying problems by driving to understand the true issueLooking for opportunities for improving methods and outcomes Applying data driven approach (KPIs) in tying technology solutions to specific business outcomesCollaborating, influencing and building consensus through constructive relationships and effective listeningSolving problems by incorporating data into decision making  To qualify for the role you must have A bachelor's degree and approximately three years of related work experience; or a master's degree and approximately two years of related work experienceAt least five years hands-on experience with data science, big data, and data engineeringExtensive experience connecting to various data sources and structures: APIs, NoSQL, RDBMS, Hadoop, S3, Blob Storage, etc.Deep understanding of statistical modeling as well as ETL, data ingestion/cleansing and engineering skillsAbility to set up data and experimental platformsR or SAS, Python, Java/C# and ScalaSQL, Hive, Pig are requiredMachine learning using k-NN, naive bayes, decision trees, SVM experience required Experience using data mining and statistical toolsSolid pattern recognition and predictive modelling skills Recommendation engines, scoring systems, A/B testingMust have worked with multiple tools/libraries such as Weka, NumPy, PyMongo, R, etc.Thorough business understanding of data science application and ability to communicate with key decision-makersHands-on experience with various big data technologies in one or more ecosystems (Hadoop, AWS or Microsoft)Communication is essential, must be able to listen and understand the question and develop and deliver clear insights.Outstanding team player.Independent and able to manage and prioritize workload.Ability to quickly and positively adapt to change.A valid driver’s license in the US; willingness and ability to travel to meet client needs. Ideally, you’ll also have Bachelor’s Degree or above in mathematics, information systems, statistics, computer science, or related disciplines Experience with Azure Data Factory and AzureML a plus What we look for We’re interested in passionate leaders with strong vision and a desire to stay on top of trends in the Data Science and Big Data industry. If you have a genuine passion for helping businesses achieve the full potential of their data, this role is for you. What We Offer We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, pension and 401(k) plans, and a wide range of paid time off options. Under our flexible vacation policy, you’ll decide how much vacation time you need based on your own personal circumstances. You’ll also be granted time off for designated EY Paid Holidays, Winter/Summer breaks, Personal/Family Care, and other leaves of absence when needed to support your physical, financial, and emotional well-being. Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next. Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way. Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. If you can demonstrate that you meet the criteria above, please contact us as soon as possible. The exceptional EY experience. It’s yours to build. EY | Building a better working world EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets. Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate. Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today. EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, in accordance with applicable law."
1,Data Scientist,Intelletec,New York City Metropolitan Area,34 applicants,Full-time · Mid-Senior level,11-50 employees · Staffing & Recruiting,2021-10-13 21:01,1 day ago,"Series C ecommerce firm transforming the Pet industry is looking to grow their Data Science team. We are looking for a Data Scientist with strong experience creating models and specifically bringing them to production. This a great opportunity to have a strong influence on customer experience, and help to optimize various aspects of operations, experimental design and analysis. You will interact with all corners of the business including growth, operations, finance, and marketing. How You'll Make an ImpactCreate predictive models using R and SQL that the team can leverage into prescriptive insightsLeverage diverse datasets alongside your strong math skills to deepen and broaden the insights providedBe a driving force in answering difficult questionsHelp drive life-long retention through forecasting and optimizationWork closely with marketing team to more deeply understand how different approaches impact growthWork with operations to help optimize fulfillment across different regions through Qualifications: Experience working with business stakeholders and understanding how to turn data into actionable insightsYou are extremely comfortable with RExperience with: time-series forecasting, optimization problems, experimental designYou must love dogs! You are a team player"
2,Staff Data Scientist - REMOTE USA,Mandiant,"New York, NY",2 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees · Computer & Network Security",2021-10-13 21:01,6 hours ago,"Company Description Since 2004, Mandiant has been a trusted partner to security-conscious organizations. Effective security is based on the right combination of expertise, intelligence, and adaptive technology, and the Mandiant Advantage SaaS platform scales decades of frontline experience and industry-leading threat intelligence to deliver a range of dynamic cyber defense solutions. Mandiant’s approach helps organizations develop more effective and efficient cyber security programs and instills confidence in their readiness to defend against and respond to cyber threats. Job Description The Data Science team develops innovative, data-driven solutions to today’s most challenging cybersecurity problems. By leveraging data derived from our company’s unparalleled view of the threat landscape, the Data Science team provides solutions with significant impact for our customers and the broader cybersecurity industry. We are looking for a highly-motivated Data Scientist to help us solve these problems by applying their expert knowledge of machine learning and statistics. An ideal candidate will have previous exposure in applying machine learning and statistical techniques to cybersecurity problems, have first-hand experience building models and analytic products that have been deployed to customers, and have demonstrated proficiency in applying natural language processing (NLP) approaches to large-scale text datasets. In this role, you will partner with Mandiant subject matter experts on the front lines defending against advanced threat actors, iteratively develop new capabilities, and work closely with our engineering team to deploy and maintain them. We encourage sharing the knowledge we gain through publications at academic conferences and talks at industry venues. What you will do: Lead the research and development of new models and analytic productsExplore promising areas of future research at the intersection of cybersecurity and machine learningIdentify data sources; iterate and grow datasets over timeExplore and analyze data; perform ad-hoc analyses to answer targeted questionsPartner with subject matter experts to inject their in-depth knowledge into the model creation processIteratively develop models and analytics; move from proof of concept to minimum viable product quickly and efficientlyWork closely with the engineering team to develop data pipelines, deploy models/analytics, and develop monitoring dashboards Effectively communicate research results to stakeholders and the research community through documentation, white papers, peer-reviewed publications, and presentations Qualifications Minimum Requirements: MS/PhD in Computer Science or a related technical field is required.5+ years of experience developing and deploying machine learning models in production settingsMinimum of 3 years experience working on cybersecurity problems, including threat intelligence, network security, endpoint security, and/or cloud security technologies.Experience applying a wide variety of unsupervised, semi-supervised, and supervised machine learning techniques, and the ability to turn big data into actionable intelligence Ability to analyze, retrain, and improve machine learning models Appreciation for the challenges in applying machine learning in a non-stationary and adversarial environmentSignificant development experience with PythonAbility to document and explain technical details clearly and concisely (peer-reviewed publications or presentations preferred) Ability to provide and receive scientific critiques and work towards data-driven solutions  Desired Qualifications: Experience with sklearn, pandas, numpy or similar packages Experience with deep learning packages, including Tensorflow, PyTorch, or KerasPractical background with modern ML and NLP approaches, including transfer learning, attention mechanisms, large language models, and embedding methods.Familiarity with cybersecurity concepts and a desire to learn from subject matter experts in the cybersecurity and threat intelligence spaceExperience with Linux command line and bash scripting Experience with AWS infrastructure and resourcesExperience with a deep learning frameworks such as TensorFlow, PyTorch, or KerasExperience with GPU-accelerated computing and hardware (e.g., NVIDIA DGX-1) Ability to work as part of a remote team Additional Information At Mandiant we are committed to our #OneTeam approach combining diversity, collaboration, and excellence. All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability. Minimum Salary: $150,000. Final salary will be determined commensurately with cost of living, experience level, and/or any other legally permissible considerations. Incentive Compensation: Eligibility for annual bonus subject to individual and company performance; eligibility for award of Restricted Stock Units subject to eligibility requirements, approval from Mandiant’s Compensation Committee, and vesting terms Benefits: Employer subsidized benefits include Medical, Dental, Vision, Life, and Disability Insurance. Subject to eligibility requirements, Mandiant also offers the ability to participate in 401(k), Flexible Spending Accounts, Health Savings Accounts, Dependent Care Spending Accounts, and Employee Stock Purchase Program. Mandiant also provides Paid Time Off, Flexible Paid Sick Time, and Paid Holidays. Disclosure as required by sb19-085 (8-5-20)"
3,Data Scientist,Career Search Partners,New York City Metropolitan Area,61 applicants,Full-time · Mid-Senior level,1-10 employees · Staffing & Recruiting,2021-10-13 21:01,2 days ago,"Rapidly growing global data intelligence firm seeks Data Scientist tasked with helping to transform the way the world integrates data into their decision making. As a Data Scientist your mission is to work with your teammates to solve our hardest data science challenges, including: Predicting business behavior from dozens of data sources and validating them against ground truth, Exploring new data sets and extracting the signal that powers our products and Helping to build the data science culture and infrastructure to rapidly move from hypothesis to impact. The Role:At the core of the company’s product is their data which makes data science the beating heart of their product. You will build the most reliable and comprehensive dataset about businesses in the US. In that pursuit, you will design and execute experiments to extract signals from hundreds of data sources, design and develop tooling to make the team more effective, and closely collaborate with product managers and engineers.  We are looking for someone who:-Finds innovative solutions to problems in statistics, experiment design and distributed machine learning (we use Python libraries and Spark extensively)-Sets high personal standards for research design that increase iteration speed and ensure reproducibility of results-Approaches data as an artefact of the real-world and develop repeatable strategies for validating results against ground truth-Develops techniques to detect and explore anomalies in our data, uncover the source and address in a way that improves our product-Thrives in high-performing, collaborative teams with short, high-impact research cycles What makes this job interesting?-Technical challenge: The company is solving some of the hardest problems in the world related to entity resolution and pushing to make new discoveries. You will be critical to our success.-Impact: Data science at many companies focuses on making better product development and business decisions. Data science is the core of their actual product! -Learning: They’re tackling problems with exciting data that don’t have obvious solutions. Every day brings new opportunities to learn about data science and our world. Our ideal candidate will:-Bring 3-4+ years of industry experience in statistics, experiment design, distributed machine learning and data engineering-Effectively communicate with technical and non-technical audiences-Have an advanced degree in a quantitative discipline (e.g. Computer Science, Mathematics, Physics, etc.) Bonus points if you:-Have experience combining diverse sets of data at scale"
4,Data Entry Analyst,Dice,"Freeport, NY",15 applicants,Full-time · Entry level,"1,001-5,000 employees · Internet",2021-10-13 21:01,2 days ago,"Job Summary Our client is looking to hire a Data Entry Analyst. The role will have to sit in freeport, NY for the first couple weeks to trainramp up then will be able to sit remote. Must be very detail oriented and extremely organized. Must have experience with microsoft office. location Freeport, New York job type Permanent work hours 8am to 4pm education No Degree Required responsibilities inputting a high volume of data from multiple sources into a database, ensuring that all necessary data is being entered and maintained. Maintains database by entering new and updated customer and account information. Prepares source data for computer entry by compiling and sorting information. Establishes entry priorities. Processes customer and account source documents by reviewing data for deficiencies. Resolves deficiencies by using standard procedures or returning incomplete documents to the team leader for resolution. Maintains data entry requirements by following data program techniques and procedures. Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data. Combines data from both systems when account information is incomplete. Purges files to eliminate duplication of data. Tests customer and account system changes and upgrades by inputting new data. Secures information by completing data base backups. Maintains operations by following policies and procedures and reporting needed changes. Maintains customer confidence and protects operations by keeping information confidential. Contributes to team effort by accomplishing related results as needed. Qualifications Experience level Experienced Minimum 2 years of experience Education No Degree Required skills data entry (2 years of experience is preferred) Equal Opportunity Employer Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status."
5,Data Scientist I,Bank of America,"Pennington, NJ",13 applicants,Full-time · Entry level,"10,001+ employees · Banking",2021-10-13 21:02,2 hours ago,"Job Description: Responsible for enabling analysis, modeling, and optimization through producing information products. Involved in the research and development efforts. Primary requirement is not related to traditional programming or systems analysis skills, but to the ability to support the creation of sophisticated, value-added analytic systems that support revenue generation, risk management, operational efficiency, regulatory compliance, portfolio management, and research. These systems must overcome issues of complex data (e.g., VLDB, multi-structured, ""big data"", etc.) as well as deployment of advanced techniques (e.g., machine learning, text mining, statistical analysis, etc.) to deliver insights. This role often possesses a degree in hard science or another heavy quantitative business or social discipline. Able to work independently or in a team on complex projects. Required Skills/Experience: Design, build, and integrate data from various resources.Assemble large, complex data sets that meet functional / non-functional business requirements.Align data architecture with business requirements.Develop data set processes (big data).Solid communication and presentation skills, including an ability to convey complicated machine learning and experimentation approaches to business partnersRobust and efficient Python coding skillsDefine the data flow, data set, data acquisition and ingestion process.Experience with technologies such as Hadoop, MapReduce, Hive, Pig, Data streaming, NoSQL, SQL, programming, KAFKA, and Cassandra,Exposure to Statistics, Machine Learning, NLP, Data Wrangling, Data Visualization & Communication.Bachelors in Computer Science with concentration in Data ScienceMasters highly preferred"
6,Data Scientist,physIQ,United States,116 applicants,Full-time · Associate,51-200 employees · Hospital & Health Care,2021-10-13 21:02,3 days ago,"Data Scientist PhysIQ is a transformational leader in applying highly sophisticated technology to solve some of the most pressing problems in healthcare. More specifically, we are forging the frontier of healthcare delivery at the intersection of mobile technology and artificial intelligence. Our team is comprised of veteran technologists and world-class data scientists and our solutions set the market standard for scalability and sophistication. Furthermore, we are implementers with a proven track record of transforming an audacious technological vision into mission-critical solutions for our customers.· Our core values are simple and are defined by integrity, passion and relentless drive toward solving the impossible.· We are a team in its purest definition. We all pull on the rope together, in the same direction, with the same intensity.· Our customers and their patients depend on us to deliver technology that will forever change healthcare. We are literally keeping people out of the hospital. We are changing lives.In our world, amazing things only happen when people make them happen. If you want to make things happen and do it with a world-class of team of visionaries and doers, we encourage you to apply. Job DescriptionThe person in this job is responsible for all functions expected of an experienced data scientist in PhysIQ’s research group, namely to develop, advance and validate the analytical technologies of the company; implement, test and deliver production code into the product to generate analytics; implement, test and evaluate competitive and prior art analytics technologies; support statistical analyses of the company’s clinical studies and trials; develop patentable inventions; develop and implement software tools for algorithmic research and clinical statistical analysis; and document analyses, algorithms and related product features. This position is heavily involved in advancing the core analytical capabilities of the company’s products. The mission of the person in this position is to deliver robust analytical methods for productization and to expose and explain phenomena of interest in clinical physiological data. Responsibilities· Algorithm Development and Testing. This position develops new algorithms or improves existing algorithms for a variety of health assessments, activity and behavior recognition, diagnoses, device performance metrics and any other automated signal processing or machine learning technique that might be used on the company’s human subject data. An example is development of a new index for orthopneic breathing based on physiology telemetry measured by sensors. This responsibility includes testing.· Clinical Data Analysis. This involves analysis of (typically continuous ambulatory) data collected in clinical studies or available from customer de-identified datasets on human subjects accessible to PhysIQ, for any kind of evaluation of results or for any kind of analytics troubleshooting. An example would be analyzing clinical outcomes in a study versus analytical predictions.· Generate Specifications and Deliver Production Analytics. This position writes and delivers production code relating to analytical methods in PhysIQ’s products, primarily in Python language; and writes associated documentation. This position is involved in writing, evaluating, critiquing, meeting about, tracking in online systems and updating product specifications about algorithms and on occasion other functionality in the product. Examples include: Writing a formal specification and code for a new algorithm; participating in meetings to review product specifications; contributing ideas for new product features that may become specifications; and updating specifications with approved changes.· Evaluate Competitive Algorithms. This position implements, evaluates and characterizes the efficacy and weaknesses of competitors’ algorithms. These activities often involve formal written reports on the findings and presentations to other PhysIQ staff.· Research Tool Development. This position is involved in developing tools and infrastructure for at-scale and repeatable analytics research, particularly using cloud and web resources.· Publish and Patent. This position should generate publishable research papers and patentable inventions as opportunities arise. This position will also be involved in analyzing the existing patent landscape and developing strategies for staking out patent positions on company technology and avoiding infringement of 3rd party IP.· Conduct and Report on Data Studies. To advance the analytics, this position is involved in aspects of conducting bench data collection activities and data studies, including developing protocols, conducting data collection from subjects, analyzing collected data and writing reports. An example of this is doing an activity study on treadmills with sensor devices using volunteers.· Analytics Platform Troubleshooting. When challenging bugs show up in the performance of the analytics platform product or associated sensor hardware, that require evaluating and analyzing clinical data, the person in this position performs all necessary steps to conduct troubleshooting when assigned to do so.· Quality Systems and FDA Validation Work. This position is responsible for participating in the quality management systems of the company and conducting validation testing of algorithms in support of FDA 510(k) or De Novo submissions· Mentoring Less Experienced Hires. This position is responsible to mentor new hires and interns as needed with respect to tools, procedures, and technology.· Other. The company may reasonably ask this person to contribute to any other business activity of the company for which the person has sufficient capability and which does not impose an unreasonable burden or unreasonable safety risk. Required Skills· Bachelor’s degree from 4-year college program in science, engineering, math or related quantitative program· Minimum of 2 years of experience in a similar role· Advanced literacy to code in at least one of the programming languages of: Python, MATLAB, R· Written English fluency· 3 or more years of work experience in positions relating to data science or analyticsNice to Have· Familiarity with deep learning tools (e.g. PyTorch, TensorFlow, MATLAB NN Toolbox, etc.)· Google cloud computing and cloud storage familiarity· Experience with wearable sensor data biosignal processing/analysis experience· Experience with biostatistical/clinical trials analysis approaches· Experience with version control software"
7,Data Scientist,Samsung Electronics,United States,126 applicants,Full-time · Mid-Senior level,"10,001+ employees · Consumer Electronics",2021-10-13 21:02,5 days ago,"Position Summary:Samsung SDS America is at the forefront of innovation in creating intelligent and interactive machines. Samsung’s perspective on Artificial Intelligence is to build an ecosystem that is user-centric rather than device-centric. A world where Artificial Intelligence can recommend and perform integrated and seamless functions across all your devices -- it gets to know you better and better, continuously learning through interactions with you.We work on distributed deep learning at scale across hundreds of GPU nodes to accelerate and automate deep learning workflows in a Kubernetes environment – on premises and in the cloud. We specialize in making deep neural networks work best on GPU High Performance Computing clusters; we love to work on scaling, breakthrough performance and record shattering benchmarks.We are looking for a Data Scientist with at least 2 years of professional experience to develop AI models that can be applied in solving business problems. The candidate must be capable of researching and developing AI algorithms to process and interpret structured and non-structured data. Ability to communicate with non-technical audiences to elicit requirements and summarize findings is required. This role is 80% coding and 20% research.Internal title for this role is Software Architecture. Responsibilities: Survey and research state of the art AI technologies to identify appropriate technical solutions.Come up with fundamental technical ideas in the AI domain and design / conduct experiments to verify them and write them up as technical reports or publications.Write REST based Micro-Services Software in Python interacting with Postgres database.Write and debug Cluster Software with Distributed Tensorflow, Keras or PyTorch Frameworks.Provide expert level knowledge of Distributed Frameworks to team members and customers.Above all, deliver very high-quality code that can be maintained in production. Requirements/Qualifications: Strong programming skills in PythonStrong mathematics and analytical skillsWork experience in deep learning platforms such as PyTorch, Tensorflow, Keras, Scikit-LearnExperience contributing to computer vision or NLP projectsMS degree in Computer Science, Computer Vision or related field"
8,Data Scientist,Underdog.io,"New York, NY",17 applicants,Full-time · Mid-Senior level,1-10 employees · Internet,2021-10-13 21:02,2 days ago,"We're looking for a Data Scientist to join a company in the Underdog.io network. The Underdog.io network is a curated group of some of the fastest growing startups and tech companies in the country. We actively turn away more than 50% of companies that attempt to join. We accept companies that offer competitive salaries, benefits, and perks. They're working on interesting technical challenges and must be respectful of your time to stay active. Our companies look for Data Scientists who are comfortable working with large data sets using SQL, Hadoop, MapReduce, Hive, etc. They have an understanding of programming concepts and experience with programming languages such as Python, Java, Scala, R, MATLAB, C++ and others. Many of our companies are looking for mid-to-senior level talent, both individual contributors and managers. To apply to the network, we'll ask you to fill out a 60-second web form. It's absolutely free. If accepted, you'll hear directly from founders, hiring managers, and other key decision makers starting the following Monday. Our platform will hide your profile from your current employer. Apply today! Building an inclusive and diverse workplace is one of Underdog.io’s core values. We warmly welcome people of all backgrounds, experiences, and perspectives. Python (Programming Language),C++,Data Science,Java,Hadoop,Hive,MATLAB,SQL,Scala,MapReduce"
9,Data Scientist,Alldus,New York City Metropolitan Area,35 applicants,Full-time · Entry level,11-50 employees · Staffing & Recruiting,2021-10-13 21:02,3 weeks ago,"Exciting opportunity to join a team of data scientists and machine learning engineers building a robust computational platform for advancing the R&D of new medicines. Opportunity to work across traditional industry boundaries in a fast-paced startup environment, with a diverse array of data spanning unique biological dataset and computational modeling of customers’ wellness outcomes and finding new healthcare insights. Example projects include developing custom models to screen for diseases, or demonstrating the effect of certain treatments on various health markers. This role will give the right candidate an unparalleled opportunity to push the boundaries of microbiome and precision medicine research. Requirements:MS/PhD in Data Science, Machine Learning, Applied Statistics (including BioStatistics), Computer Science, Bioinformatics or related fields4+ years of experience in data scienceBiology background / experience with RNA/DNA dataExperience working with molecular data, disease modeling and biomarker discovery Mastery of statistical methods, supervised and unsupervised learning algorithmsExcellent coding skills: Python (numpy, scipy, pandas), SQL; R is a plusVisualization and exploratory analysis of very large datasetsAbility to turn the insights and conclusions from a variety of analyses into effective verbal and graphical communications, including to senior management and to external partiesEffective collaboration with our team of experts in systems biology and clinical domains, and the ability to draw on scientific literature for guidanceDetail-oriented; Ability to pay close attention to details when analyzing the dataThe ability to thrive in a fast-paced startup environment"
